district_name,ref_district_id,state_name,ref_state_id,cattle,buffalo,sheep,goat,horse,pony,mule,donkey,camel,pig,Total_poultry
Papum Pare,248,Arunachal Pradesh,12,28890,1631,48,14844,0,0,0,0,0,20080,171771
Upper Subansiri,249,Arunachal Pradesh,12,15813,580,86,11903,0,0,0,0,0,25734,77884
West Siang,250,Arunachal Pradesh,12,11568,0,56,5070,1,149,0,0,0,13148,57314
East Siang,251,Arunachal Pradesh,12,35946,272,0,11881,0,3,0,0,0,24724,111823
Upper Siang,252,Arunachal Pradesh,12,7220,0,9,3198,0,0,0,0,0,16545,101358
Changlang,253,Arunachal Pradesh,12,26569,849,875,13129,1,63,0,0,0,14216,127426
Tirap,254,Arunachal Pradesh,12,2143,0,2,3378,0,0,0,0,0,5272,33373
Lower Subansiri,255,Arunachal Pradesh,12,38175,76,334,12113,4,0,0,0,0,24520,144371
Kurung Kumey,256,Arunachal Pradesh,12,1637,0,3,4817,0,0,0,0,0,18688,89550
Dibang Valley,257,Arunachal Pradesh,12,211,0,0,982,0,4,0,0,0,2449,23073
Lower Dibang Valley,258,Arunachal Pradesh,12,14524,1367,0,5772,0,0,0,0,0,8570,92078
Lohit,259,Arunachal Pradesh,12,66448,1466,10,30881,3,52,0,0,0,21764,158630
Anjaw,260,Arunachal Pradesh,12,1360,0,0,961,0,0,0,0,0,5109,14655
Longding,675,Arunachal Pradesh,12,2802,0,0,809,0,0,0,0,0,3977,11065
NAMSAI,700,Arunachal Pradesh,12,8344,61,0,3258,0,0,0,0,0,3728,33097
Kra Daadi,707,Arunachal Pradesh,12,9503,0,718,11146,0,0,0,0,0,16701,83276
SIANG,708,Arunachal Pradesh,12,10742,0,0,1868,0,0,0,0,0,14227,52420
Barpeta,833,Assam,18,482515,20629,51906,177709,1768,547,60,195,65,11276,3097705
BONGAIGAON,834,Assam,18,256952,1240,11557,107460,237,75,2,0,3,11217,1203076
Cachar,835,Assam,18,354843,50447,27098,139390,212,6,1,21,3,17830,1257160
DHEMAJI,836,Assam,18,526980,16654,2284,115091,401,50,0,1,0,232517,2023598
DHUBRI,837,Assam,18,356057,12427,32292,129714,725,27,0,18,0,1942,1426853
Dibrugarh,838,Assam,18,340624,12533,418,202377,23,14,0,5,0,111522,2057567
Goalpara,839,Assam,18,333621,8531,23191,102978,782,1,0,20,0,49598,1885216
Golaghat,840,Assam,18,611453,30549,2981,198300,826,6,26,8,14,118500,2600339
Hailakandi,841,Assam,18,132228,19215,9173,53181,89,44,0,18,5,2561,773556
Jorhat,842,Assam,18,432395,21097,610,173798,19,18,0,0,4,101073,2035327
Kamrup,843,Assam,18,499937,7076,17667,191743,1365,45,6,27,3,79230,1831405
Karbi Anglong,844,Assam,18,255056,3884,286,279632,15,1,0,0,0,188380,1398605
Karimganj,845,Assam,18,279167,27530,23544,80664,163,22,4,133,10,4054,1280905
Kokrajhar,846,Assam,18,333591,7833,14222,145530,221,72,3,10,1,105271,1146890
Lakhimpur,847,Assam,18,629028,11666,659,202071,113,0,0,5,0,195875,1916948
Morigaon,848,Assam,18,355479,4317,8435,82247,357,29,0,1,0,31322,1367583
Nagaon,849,Assam,18,626451,16304,18661,169825,1346,52,18,8,18,51182,2921646
Nalbari,850,Assam,18,250211,5814,15809,169294,351,2,0,0,0,15518,1098023
Dima Hasao,851,Assam,18,22576,34068,528,30702,10,616,0,22,7,34522,397436
Sibsagar,852,Assam,18,266031,14829,305,103976,51,3,34,2,1,64021,1293545
Sonitpur,853,Assam,18,513984,7162,2992,250708,36,6,4,7,0,76770,1996112
Tinsukia,854,Assam,18,382530,9747,118,154013,26,10,32,2,218,57396,1826842
Chirang,855,Assam,18,207668,1745,1468,62508,29,2,1,0,0,55800,734235
BAKSA,856,Assam,18,364106,813,5208,179978,34,0,0,0,6,81872,1241620
Udalguri,857,Assam,18,383132,2717,2084,131491,61,17,0,64,208,99245,1537621
Kamrup (M),858,Assam,18,120252,953,546,44614,27,14,18,2,0,28351,250531
Biswanath,859,Assam,18,362264,13108,6426,145186,264,92,515,28,0,92600,1025334
Majuli,860,Assam,18,123762,6245,69,20342,98,18,0,0,0,34345,165631
South Salmara,861,Assam,18,141918,4548,14993,61853,210,0,0,2,0,437,1022372
Soraideu,862,Assam,18,88609,916,9,47553,3,0,0,0,0,32694,645446
Hojai,863,Assam,18,298794,1221,1419,70814,123,0,0,8,0,7345,1153734
West Karbi Anglong,864,Assam,18,119599,8827,54,128552,1,0,0,0,0,83069,689126
DARRANG,865,Assam,18,457426,37070,35088,161879,877,131,0,293,1,21665,1410354
Pashchim Champaran,203,Bihar,10,411203,272643,1422,705184,491,177,0,18,0,9040,418559
Purbi Champaran,204,Bihar,10,403669,372782,1363,892014,846,1227,9,53,1,10407,962075
Sheohar,205,Bihar,10,40976,61812,124,185541,103,1,0,7,0,1022,181236
Sitamarhi,206,Bihar,10,179185,381261,272,654395,1079,784,10,229,12,5758,389471
Madhubani,207,Bihar,10,588709,489306,1855,416135,138,25,0,22,0,6987,270389
Supaul,208,Bihar,10,640781,326333,1403,365099,326,29,15,107,0,6578,260701
Araria,209,Bihar,10,746965,214461,281,445383,494,27,336,30,0,3515,754883
Kishanganj,210,Bihar,10,587175,60930,493,355735,79,36,3,79,0,8796,1181509
Purnia,211,Bihar,10,816498,242665,245,646481,544,0,6,10,0,9976,1248908
Katihar,212,Bihar,10,723503,95745,2274,601549,372,68,126,361,0,7758,792656
Madhepura,213,Bihar,10,472771,240327,2678,550897,1010,0,1,11,0,5665,154771
Saharsa,214,Bihar,10,429494,206350,445,367647,1773,1,4,25,0,5372,89988
Darbhanga,215,Bihar,10,331723,328915,221,328802,562,396,21,119,0,4791,353147
Muzaffarpur,216,Bihar,10,425801,296568,1518,696340,433,40,10,50,4,3389,887235
Gopalganj,217,Bihar,10,247247,94141,791,257811,343,140,23,366,4,3572,840655
Siwan,218,Bihar,10,357680,175200,1459,188389,396,75,94,496,3,4377,590331
Saran,219,Bihar,10,423418,194841,7283,228327,1333,139,19,580,11,6747,351056
Vaishali,220,Bihar,10,272893,160662,2790,392611,339,0,6,23,23,2281,641495
Samastipur,221,Bihar,10,529775,193457,2178,488063,420,2,0,60,0,2818,597047
Begusarai,222,Bihar,10,456975,86408,215,213315,1023,1,6,23,3,1716,203960
Khagaria,223,Bihar,10,297675,94059,194,275780,4263,0,0,11,0,3136,79844
Bhagalpur,224,Bihar,10,636551,249668,1394,476581,2568,163,87,522,0,4136,270710
Banka,225,Bihar,10,719136,112126,8823,452364,359,9,20,2,0,26384,225931
Munger,226,Bihar,10,202078,43189,2761,218816,1395,12,0,4,0,2332,79032
Lakhisarai,227,Bihar,10,139570,56853,220,103711,1108,9,0,4,1,1290,118634
Sheikhpura,228,Bihar,10,83361,56508,1512,75397,91,4,3,16,6,3270,91949
Nalanda,229,Bihar,10,210772,279860,9636,153042,393,81,0,44,0,12007,684687
Patna,230,Bihar,10,452997,325831,9836,191314,867,16,3,134,10,22000,398922
Bhojpur,231,Bihar,10,275739,260590,17945,116417,1639,101,191,1621,7,17224,342402
Buxar,232,Bihar,10,203086,171747,14117,54044,854,117,162,1496,1,3656,124386
Kaimur (Bhabua),233,Bihar,10,244393,242604,42114,111876,615,84,156,1530,0,4207,244217
Rohtas,234,Bihar,10,347549,335397,24039,193234,526,29,99,887,1,6928,404511
Aurangabad,235,Bihar,10,466108,196443,26284,240057,95,19,7,385,0,4022,684176
Gaya,236,Bihar,10,830383,320917,15596,449746,149,1003,72,1869,0,63741,775991
Nawada,237,Bihar,10,404339,133116,2168,281504,54,5,0,14,0,22524,330251
Jamui,238,Bihar,10,636265,132519,3612,353051,162,24,2,7,0,19838,169744
Jehanabad,239,Bihar,10,91151,125475,1821,57068,62,1,0,18,1,10785,236846
Arwal,240,Bihar,10,70386,88085,1995,37496,27,0,0,31,0,5389,93044
Chandigarh,55,Chandigarh,4,13440,12177,0,998,233,4,0,0,0,138,48883
Korea,400,Chhattisgarh,22,380862,71564,30,209357,68,0,8,0,0,4213,439310
Surguja,401,Chhattisgarh,22,364306,70181,462,288535,10,0,0,0,0,12427,419622
Jashpur,402,Chhattisgarh,22,433037,33416,5387,445166,43,0,0,0,0,39705,525189
Raigarh,403,Chhattisgarh,22,379028,24334,19331,217858,22,0,0,5,0,10288,348050
Korba,404,Chhattisgarh,22,353801,52664,42,187421,14,0,0,15,0,2308,309661
Janjgir-Champa,405,Chhattisgarh,22,514307,35802,7415,78461,68,25,3,0,0,3116,428564
Bilaspur,406,Chhattisgarh,22,606719,98293,3513,206088,13,19,4,13,0,4481,724891
Kabirdham (Kawardha),407,Chhattisgarh,22,358678,40090,829,77181,29,21,0,0,0,4812,147719
Rajnandgaon,408,Chhattisgarh,22,746200,60832,8645,140555,8,6,0,5,0,11547,2101990
Durg,409,Chhattisgarh,22,307693,51122,7472,61499,73,3,6,9,0,1594,1661112
Raipur,410,Chhattisgarh,22,343625,62579,8227,70311,29,18,0,4,0,1749,2506337
Mahasamund,411,Chhattisgarh,22,305152,23237,15821,123996,6,6,0,8,1,3494,1117442
Dhamtari,412,Chhattisgarh,22,254795,39107,357,58582,27,0,0,0,0,7260,345763
Kanker,413,Chhattisgarh,22,343329,21558,2602,185263,18,2,0,6,0,62735,898114
Bastar,414,Chhattisgarh,22,285561,50383,28028,98170,10,0,0,0,0,39001,1096465
Narayanpur,415,Chhattisgarh,22,192146,16677,67,78041,0,0,0,0,0,57157,248627
Dantewada,416,Chhattisgarh,22,187630,17570,94,75745,2,3,0,0,0,42867,428905
Bijapur,417,Chhattisgarh,22,272442,14721,391,150220,0,0,0,0,0,64683,604788
Balod,664,Chhattisgarh,22,336482,30225,5610,54331,6,0,0,2,0,2137,1117074
Baloda Bazar,665,Chhattisgarh,22,514511,57111,7637,100638,11,0,0,0,0,3124,664778
Balrampur,666,Chhattisgarh,22,461363,56111,5071,348178,25,13,0,2,0,22180,398343
Bemetara,667,Chhattisgarh,22,417937,54713,8945,102089,2,0,0,65,0,1749,40940
Gariyaband,670,Chhattisgarh,22,253669,27031,33889,81932,19,0,0,6,0,2328,311750
Kondagaon,674,Chhattisgarh,22,339576,29604,4600,90235,36,12,0,1,0,52891,773743
Mungeli,676,Chhattisgarh,22,263370,36900,1207,74258,0,0,0,0,0,1084,46615
Sukma,685,Chhattisgarh,22,389067,25202,3978,149185,0,0,0,0,0,63554,700658
Surajpur,686,Chhattisgarh,22,378668,73695,579,252362,8,0,0,1,0,4417,305374
Dadra And Nagar Haveli,496,Dadra And Nagar Haveli,26,39736,997,84,7548,39,0,0,0,0,0,89671
Diu,494,Daman And Diu,25,999,0,68,506,0,0,0,0,0,0,5074
Daman,495,Daman And Diu,25,841,374,0,481,10,5,0,0,0,0,13190
North Goa,585,Goa,30,26956,12589,8,4269,3,0,1,0,0,4570,95618
South Goa,586,Goa,30,33291,14618,0,5177,12,0,0,0,2,30910,253925
AHMADABAD,797,Gujarat,24,211977,381499,14652,90062,988,29,0,485,592,26,419107
AMRELI,798,Gujarat,24,207241,178787,77036,125050,1526,0,0,23,1,0,1609
ANAND,799,Gujarat,24,273505,460860,9676,94277,509,3,0,2457,976,246,7261627
BANAS KANTHA,800,Gujarat,24,1390357,1501537,118204,387986,1938,0,0,250,3831,12,999755
BHARUCH,801,Gujarat,24,122344,162523,4536,160068,476,12,0,459,811,0,344399
BHAVNAGAR,802,Gujarat,24,226407,291930,132151,110133,1357,8,0,70,242,0,1490774
DANG,803,Gujarat,24,74901,23235,285,21093,1,0,0,0,0,64,234182
DOHAD,804,Gujarat,24,656223,524521,2533,878061,91,0,0,747,12,93,551838
GANDHINAGAR,805,Gujarat,24,184736,322574,21237,63695,543,0,0,312,1505,0,182857
JAMNAGAR,806,Gujarat,24,139176,162333,214785,130282,681,0,0,57,1115,53,143480
JUNAGADH,807,Gujarat,24,165769,211414,18499,59682,648,0,0,10,216,20,170895
KACHCHH,808,Gujarat,24,574837,466341,610629,439258,3087,12,0,1337,9053,0,171629
KHEDA,809,Gujarat,24,265460,616160,20096,102279,434,0,5,1096,240,13,1644991
MAHESANA,810,Gujarat,24,323858,488302,10913,111500,975,1,0,173,3409,1,157290
NARMADA,811,Gujarat,24,177550,76314,21,89966,57,0,0,74,0,5,142442
NAVSARI,812,Gujarat,24,231544,61865,1159,68636,205,0,0,58,2,58,1822239
PANCH MAHALS,813,Gujarat,24,335220,434464,1427,332360,236,0,0,1564,62,0,207032
PATAN,814,Gujarat,24,173660,432837,45920,101011,1024,0,0,156,2262,0,80751
PORBANDAR,815,Gujarat,24,64465,143534,17061,14855,202,0,0,0,223,0,22007
RAJKOT,816,Gujarat,24,377285,269056,128874,104797,1232,0,0,43,53,39,23644
SABAR KANTHA,817,Gujarat,24,459921,417008,47918,210505,270,0,0,230,794,0,334270
SURAT,818,Gujarat,24,271863,251048,4307,58055,626,21,0,100,14,27,137213
SURENDRANAGAR,819,Gujarat,24,325680,350911,44759,117945,1586,2,0,51,155,0,1198
VADODARA,820,Gujarat,24,152980,340490,5764,130662,426,8,0,576,36,0,370478
VALSAD,821,Gujarat,24,309310,63855,1271,83000,85,0,0,0,2,1,1726075
TAPI,822,Gujarat,24,224128,180659,560,49644,33,0,0,28,0,0,601471
CHHOTAUDEPUR,823,Gujarat,24,324217,209696,87,183686,111,0,0,244,3,0,335932
Mahisagar,824,Gujarat,24,308108,406003,9083,162603,117,0,0,362,9,0,244150
ARVALLI,825,Gujarat,24,425032,384808,30536,177028,245,0,0,216,332,0,276935
MORBI,826,Gujarat,24,141984,174976,97972,66893,501,0,0,7,297,0,1630273
DEVBHUMI DWARKA,827,Gujarat,24,126026,284636,63099,50443,302,0,0,70,1311,0,12610
GIR SOMNATH,828,Gujarat,24,212526,193958,22486,49163,178,0,0,19,39,0,29990
BOTAD,829,Gujarat,24,175347,75116,9727,43066,1025,0,0,12,23,0,249
AMBALA,722,Haryana,6,71160,137620,16887,6695,516,5,226,3,0,4128,2873416
BHIWANI,723,Haryana,6,105374,277555,34533,32270,584,54,182,80,1001,3517,777234
CHARKI DADRI,724,Haryana,6,38412,152521,12946,17075,190,24,111,33,338,1737,1151986
FARIDABAD,725,Haryana,6,42988,114100,3721,6790,112,4,23,21,5,1562,69867
FATEHABAD,726,Haryana,6,108800,233890,15146,13185,443,17,57,12,546,2160,357178
GURUGRAM,727,Haryana,6,63916,112204,3207,9490,710,99,84,88,25,8880,494424
HISAR,728,Haryana,6,169527,425846,33339,18862,565,43,106,70,338,4157,2820364
JHAJJAR,729,Haryana,6,62574,180459,9396,7837,347,29,330,37,18,11989,403395
JIND,730,Haryana,6,116624,393606,22805,11009,555,90,163,14,106,6308,5627554
KAITHAL,731,Haryana,6,91943,281887,10939,6189,587,21,109,6,13,4947,2406042
KARNAL,732,Haryana,6,155195,200645,10851,9313,677,29,65,21,125,10346,9565575
KURUKSHETRA,733,Haryana,6,101938,139058,10955,7152,469,11,40,10,0,4082,3509236
MAHENDRAGARH,734,Haryana,6,51113,187207,22995,45967,412,8,135,19,807,1354,988045
MEWAT,735,Haryana,6,29810,174347,5522,26522,113,4,29,70,303,761,23989
PALWAL,736,Haryana,6,49684,199491,7591,13072,320,23,64,89,2,3207,18743
PANCHKULA,737,Haryana,6,32381,56028,3960,6816,100,1,46,22,15,1875,6555878
PANIPAT,738,Haryana,6,74761,165167,5008,4595,387,14,22,6,1,4367,5139088
REWARI,739,Haryana,6,44310,160423,5384,24127,260,16,248,22,219,7457,441638
ROHTAK,740,Haryana,6,64075,174156,9981,6660,257,39,132,79,2,8694,364313
SIRSA,741,Haryana,6,235362,250695,27888,47609,398,40,230,79,1289,1687,340358
SONIPAT,742,Haryana,6,111458,224980,7103,7332,456,61,31,4,0,12399,955218
YAMUNANAGAR,743,Haryana,6,107277,126138,8213,6073,583,10,66,15,1,2626,1411424
Chamba,23,Himachal Pradesh,2,261939,24794,242571,223558,1178,20,6019,257,0,137,41404
Kangra,24,Himachal Pradesh,2,295959,133697,102743,214555,1890,93,3087,263,3,593,468479
Lahul And Spiti,25,Himachal Pradesh,2,11678,0,23380,3078,536,9,12,1467,0,0,1763
Kullu,26,Himachal Pradesh,2,155109,1301,133122,58800,859,4,789,52,0,27,11542
Mandi,27,Himachal Pradesh,2,359296,63856,91631,189289,1524,19,4451,100,0,146,31847
Hamirpur,28,Himachal Pradesh,2,19789,97246,6909,24285,88,13,609,60,1,109,27748
Una,29,Himachal Pradesh,2,60367,113042,134,12410,105,0,82,20,3,235,408000
Bilaspur,30,Himachal Pradesh,2,44776,99514,885,74243,33,10,644,82,0,487,45121
Solan,31,Himachal Pradesh,2,130736,70674,772,47412,68,49,763,42,0,355,226624
Sirmaur,32,Himachal Pradesh,2,245697,36838,5274,134881,383,60,1456,134,19,258,32586
Shimla,33,Himachal Pradesh,2,220176,5603,99643,86137,1250,233,1979,540,0,130,27321
Kinnaur,34,Himachal Pradesh,2,22495,0,84281,39765,282,145,524,1780,0,0,19516
Kupwara,1,Jammu And Kashmir,1,182998,2251,151255,55012,2059,405,274,3,0,0,374179
Badgam,2,Jammu And Kashmir,1,145153,730,178790,16193,2171,224,10,1,0,0,763606
Leh Ladakh,3,Jammu And Kashmir,1,35839,0,83281,176396,1763,64,0,2647,298,0,12795
Kargil,4,Jammu And Kashmir,1,48362,0,115220,63710,2762,22,12,3543,0,0,53961
Poonch,5,Jammu And Kashmir,1,53654,114672,135751,114279,3437,85,64,12,0,0,267560
Rajauri,6,Jammu And Kashmir,1,107789,148583,299010,286076,6405,10,2072,61,0,76,264325
Kathua,7,Jammu And Kashmir,1,208886,67456,281569,221215,5316,680,1474,95,25,123,772217
Baramulla,8,Jammu And Kashmir,1,157725,2542,183761,41068,1837,401,10,2,0,0,806242
Bandipora,9,Jammu And Kashmir,1,76888,794,104406,17224,818,2073,108,4,0,0,255555
Srinagar,10,Jammu And Kashmir,1,37395,131,35925,2146,104,1,0,0,0,0,390967
Ganderbal,11,Jammu And Kashmir,1,61627,311,55420,9843,556,1837,2,2,0,0,692270
Pulwama,12,Jammu And Kashmir,1,97234,794,133982,3887,41,1512,6,211,0,0,1135949
Shopian,13,Jammu And Kashmir,1,69552,2445,113911,1808,316,2384,0,4,0,0,86625
Anantnag,14,Jammu And Kashmir,1,188611,2514,180693,10860,2568,3544,97,1514,0,0,291153
Kulgam,15,Jammu And Kashmir,1,110416,1504,105170,3591,682,377,0,1,0,0,132949
Doda,16,Jammu And Kashmir,1,165672,18083,297846,68161,1999,16,5225,258,0,0,171195
Ramban,17,Jammu And Kashmir,1,136425,19239,86670,25937,1757,253,654,311,0,0,87101
Kishtwar,18,Jammu And Kashmir,1,93729,8216,188105,74472,1320,513,2448,752,0,0,35071
Udhampur,19,Jammu And Kashmir,1,205243,79925,269023,191129,2632,86,1424,8,16,476,66314
Reasi,20,Jammu And Kashmir,1,98707,67365,165447,159556,5003,524,2623,74,14,386,125458
Jammu,21,Jammu And Kashmir,1,187043,122905,49020,130140,3136,30,172,13,97,148,282251
Samba,22,Jammu And Kashmir,1,70292,30369,33248,57515,1478,134,47,47,16,6,298565
Garhwa,346,Jharkhand,20,701752,73950,24978,414456,30,46,0,7,0,31478,379207
Chatra,347,Jharkhand,20,510637,102000,457,300965,37,1,0,33,0,73570,691061
Koderma,348,Jharkhand,20,183651,20496,430,120382,31,6,0,0,0,3198,144502
Giridih,349,Jharkhand,20,973869,112335,11982,730195,26,4,0,79,0,53106,1011059
Deoghar,350,Jharkhand,20,692698,54383,25022,472849,22,7,0,0,0,30129,486755
Godda,351,Jharkhand,20,684653,96016,4717,288944,453,86,14,11,0,104736,484890
Sahebganj,352,Jharkhand,20,263183,46545,3706,354589,53,25,0,21,0,68045,578693
Pakur,353,Jharkhand,20,387417,70215,46812,309543,48,32,5,128,0,97940,775126
Dhanbad,354,Jharkhand,20,349900,32673,18496,271044,32,2,0,7,0,36002,978104
Bokaro,355,Jharkhand,20,400941,28525,16375,345816,48,0,9,7,0,16696,1642424
Lohardaga,356,Jharkhand,20,145722,16765,2282,175745,1,0,0,0,0,8202,409691
East Singhbum,357,Jharkhand,20,412587,58544,91686,388863,42,29,0,40,0,22146,1786890
Palamu,358,Jharkhand,20,666463,94442,35157,352021,67,15,32,15,0,41819,596930
Latehar,359,Jharkhand,20,347936,38088,91,274418,11,0,0,0,0,53042,518676
Hazaribagh,360,Jharkhand,20,548412,70492,2628,476081,1,6,0,1,0,45160,2547094
Ramgarh,361,Jharkhand,20,119968,29161,4147,209934,2,0,6,5,0,18325,426147
Dumka,362,Jharkhand,20,747624,48090,28645,407126,14,4,1,6,0,128562,828974
Jamtara,363,Jharkhand,20,431586,20420,38364,256925,2,27,0,0,0,37074,495548
Ranchi,364,Jharkhand,20,636402,125153,39719,784961,45,8,1,0,0,68396,2376524
Khunti,365,Jharkhand,20,279817,32918,34597,266678,15,0,0,8,0,40844,932483
Gumla,366,Jharkhand,20,558248,90480,7974,608665,10,7,0,3,0,107915,1359659
Simdega,367,Jharkhand,20,403412,26600,14476,418100,14,12,0,9,0,110301,997947
West Singhbhum,368,Jharkhand,20,471002,31269,112791,527897,35,0,0,1,0,38176,2475360
Saraikela Kharsawan,369,Jharkhand,20,305172,30753,75651,364976,13,9,5,19,0,42111,1909162
Belgaum,555,Karnataka,29,549540,844171,757679,701741,2998,62,5,17,1,21784,2648732
Bagalkot,556,Karnataka,29,222823,234340,622856,383926,539,270,0,980,1,20458,1703285
Bijapur,557,Karnataka,29,202111,177079,347070,569098,1167,8,0,164,0,19462,273409
Bidar,558,Karnataka,29,173634,125510,85948,182854,69,0,0,1743,1,20838,734095
Raichur,559,Karnataka,29,245374,112420,657633,282718,43,0,8,120,0,16384,397976
Koppal,560,Karnataka,29,231413,63467,625367,172578,41,0,0,12,1,8651,4008826
Gadag,561,Karnataka,29,136311,55798,395899,191656,108,0,1,13,0,14258,416130
Dharwad,562,Karnataka,29,172219,61245,79869,74069,91,7,0,1,0,4168,1460262
Uttar Kannad,563,Karnataka,29,336312,73993,8537,10655,20,0,1,0,1,1193,557455
Haveri,564,Karnataka,29,261060,85501,313205,144969,133,0,17,27,2,3347,384290
Bellary,565,Karnataka,29,283699,127407,1005565,253119,59,0,3,111,2,15094,1721528
Chitradurga,566,Karnataka,29,225603,113304,1352087,385058,55,22,8,1521,2,2177,1741574
Davangere,567,Karnataka,29,297377,123596,505630,124542,25,1,0,86,0,2418,2628413
Shimoga,568,Karnataka,29,518653,120563,42526,59719,35,12,0,54,0,6160,2066027
Udupi,569,Karnataka,29,254776,2408,431,2676,1,0,0,0,0,3289,1143010
Chikmagalur,570,Karnataka,29,290007,34362,97962,41040,25,0,0,39,0,1423,2336685
Tumkur,571,Karnataka,29,431251,142047,1290008,427926,44,5,2,3225,2,5956,1628178
Bengaluru Urban,572,Karnataka,29,153861,11168,82873,62464,114,14,1,91,2,28046,1302173
Mandya,573,Karnataka,29,369986,109443,347133,346430,26,0,0,107,0,9408,2185469
Hassan,574,Karnataka,29,548185,107971,199387,129058,34,0,0,108,0,1946,2353284
Dakshin Kannad,575,Karnataka,29,250569,1832,289,32215,14,0,0,13,11,6359,2595523
Kodagu,576,Karnataka,29,71684,5236,650,7603,2,2,0,0,0,8365,184597
Mysore,577,Karnataka,29,492598,21682,203463,208206,561,1,0,15,4,7349,3095800
Chamarajanagar,578,Karnataka,29,249361,9918,135321,144633,33,9,0,31,2,1572,726104
Gulbarga,579,Karnataka,29,385580,73176,112387,446200,78,9,2,66,1,44221,382911
Yadgir,580,Karnataka,29,233336,57438,437092,256848,53,10,3,31,0,20504,326132
Kolar,581,Karnataka,29,209642,26520,483892,93713,17,0,0,62,0,5292,8607729
Chikballapur,582,Karnataka,29,213815,26397,613193,188392,42,0,0,25,0,2481,2382658
Bangalore Rural,583,Karnataka,29,170722,16924,118788,95156,21,12,0,42,0,14131,7145341
Ramanagara,584,Karnataka,29,287502,19644,127988,150130,126,0,0,86,0,7102,2356885
Kasaragod,588,Kerala,32,73968,1506,50,37427,8,0,0,1,2,4666,615472
Kannur,589,Kerala,32,91687,2446,8,65166,7,0,0,0,3,12312,1325481
Wayanad,590,Kerala,32,79753,4353,238,45365,16,4,0,0,3,9147,889246
Kozhikode,591,Kerala,32,94248,3915,25,55215,18,0,0,0,4,11159,1760401
Malappuram,592,Kerala,32,87035,15077,28,169892,41,2,0,0,1,2925,6137460
Palakkad,593,Kerala,32,166952,9743,914,144095,61,6,0,32,3,9258,2028591
Thrissur,594,Kerala,32,111932,20520,21,129579,106,29,0,4,4,13041,3399382
Ernakulam,595,Kerala,32,108061,10029,7,126599,46,3,0,21,0,9142,4033870
Idukki,596,Kerala,32,97395,5067,9,102432,25,2,0,0,0,14670,746356
Kottayam,597,Kerala,32,81074,6163,19,94968,28,1,0,2,1,9200,2212169
Alappuzha,598,Kerala,32,79370,5726,18,55109,17,2,0,0,0,424,1779061
Pathanamthitta,599,Kerala,32,61157,3260,27,52106,12,2,0,1,0,894,798872
Kollam,600,Kerala,32,110542,8658,12,124326,31,4,0,0,3,1582,1522105
Thiruvananthapuram,601,Kerala,32,98822,5041,106,156882,86,3,0,4,2,5443,2523439
Lakshadweep District,587,Lakshadweep,31,2493,16,0,43188,0,0,0,0,0,0,226025
HOSHANGABAD,746,Madhya Pradesh,23,330352,112350,259,88045,201,12,0,123,2,714,409967
SAGAR,747,Madhya Pradesh,23,744975,236093,871,172079,297,366,1,81,2,1474,304600
NARSINGHPUR,748,Madhya Pradesh,23,254904,116684,591,122180,196,24,0,206,0,1654,44586
ASHOKNAGAR,749,Madhya Pradesh,23,234315,146970,1892,106301,96,1,21,37,0,1078,15705
SEHORE,750,Madhya Pradesh,23,368540,275960,563,134706,154,14,2,64,0,1344,423470
