GO,Function,Proteins,Gene Name,Ontology group,Count of protein,Number of proteins detected within the genome,GO frequency within the dataset (%),GO frequency within the genome (%),P-Value,P-Values_BH
GO:0004713,protein tyrosine kinase activity,F1MS00(Evidence code:IEA/Database source:InterPro:IPR020635)F1N780(Evidence code:IEA/Database source:InterPro:IPR020635)Q769I5(Evidence code:IEA/Database source:InterPro:IPR020635), RET EPHA7 MET,MF,3,3 of 14,1.73,21.43,0.0001004,0.001369
GO:0005178,integrin binding,Q3SWW8(Evidence code:IEA/Database source:UniProtKB:P35443|ens)O18739(Evidence code:IEA/Database source:UniProtKB:P29268|ens)A5D7V3(Evidence code:IEA/Database source:UniProtKB:Q9NQ30|ens), THBS4 CTGF ESM1,MF,3,3 of 17,1.73,17.65,0.0001663,0.002213
GO:0046007,negative regulation of activated T cell proliferation,Q2KJ64(Evidence code:IEA/Database source:UniProtKB:Q61176|ens)P00514(Evidence code:IEA/Database source:UniProtKB:P10644|ens), ARG1 PRKAR1A,BP,2,2 of 2,1.16,100,0.0001719,0.002213
GO:0007413,axonal fasciculation,F1MEW1(Evidence code:IEA/Database source:UniProtKB:O08665|ens)E1BPC9(Evidence code:IEA/Database source:UniProtKB:Q61330|ens), SEMA3A CNTN2,BP,2,2 of 2,1.16,100,0.0001719,0.002213
GO:0018242,protein O-linked glycosylation via serine,E1BBP1(Evidence code:IEA/Database source:UniProtKB:Q14435|ens)Q07537(Evidence code:IEA/Database source:UniProtKB:Q10472|ens), GALNT3 GALNT1,BP,2,2 of 2,1.16,100,0.0001719,0.002213
GO:0016798,"hydrolase activity, acting on glycosyl bonds",Q29444(Evidence code:IEA/Database source:UniProtKB-KW:KW-0326)Q9MYY0(Evidence code:IEA/Database source:InterPro:IPR005199)Q95M17(Evidence code:IEA/Database source:UniProtKB-KW:KW-0326)Q9MYM4(Evidence code:IEA/Database source:UniProtKB-KW:KW-0326), MANBA HPSE CHIA GAA,MF,4,4 of 48,2.31,8.33,0.000187,0.002374
GO:0004725,protein tyrosine phosphatase activity,F1MFJ3(Evidence code:IEA/Database source:InterPro:IPR000242|I)Q2T9S4(Evidence code:IEA/Database source:EC:3.1.3.48)F1MME1(Evidence code:IEA/Database source:InterPro:IPR000242|I), PTPRG PGP PTPRK,MF,3,3 of 18,1.73,16.67,0.0001932,0.00242
GO:0000139,Golgi membrane,Q2HJD1(Evidence code:IEA/Database source:UniProtKB-SubCell:SL)Q6ZXD2(Evidence code:IEA/Database source:UniProtKB-SubCell:SL)Q0VC16(Evidence code:IEA/Database source:GO:0090110)E1BKQ9(Evidence code:IEA/Database source:UniProtKB-SubCell:SL)Q5EA01(Evidence code:IEA/Database source:UniProtKB-SubCell:SL)E1BBP1(Evidence code:IEA/Database source:UniProtKB-SubCell:SL), LMAN2L ST8SIA1 MIA3 GALNT5 B4GAT1  GALNT3,CC,6,6 of 147,3.47,4.08,0.0002074,0.002564
GO:0005622,intracellular,F1MJV6(Evidence code:IEA/Database source:GO:0007189)E1B969(Evidence code:IEA/Database source:GO:0035329)P01131(Evidence code:IEA/Database source:UniProtKB:P35951|ens)E1BEC6(Evidence code:IEA/Database source:GO:0007189)Q9MYY0(Evidence code:IBA/Database source:PANTHER:PTN001024080), ADGRG6 DCHS1 LDLR ADGRF1 HPSE,CC,5,5 of 95,2.89,5.26,0.0002277,0.002777
GO:0006955,immune response,A6QPW7(Evidence code:IBA/Database source:PANTHER:PTN000753849)P17453(Evidence code:IEA/Database source:InterPro:IPR030181)Q08DN1(Evidence code:IBA/Database source:PANTHER:PTN000753849)A6QP79(Evidence code:IEA/Database source:UniProtKB:Q8K4Q8|ens)Q32L50(Evidence code:IEA/Database source:InterPro:IPR001212|I)G3MYM8(Evidence code:IEA/Database source:InterPro:IPR001212|I)A1A4K5(Evidence code:IEA/Database source:InterPro:IPR001212|I), TNFRSF6B BPI TNFRSF21 COLEC12 SBSPON PRG4 ENPP2,BP,7,7 of 214,4.05,3.27,0.0002352,0.002832
GO:0001822,kidney development,E1B969(Evidence code:IEA/Database source:UniProtKB:E9PVD3|ens)E1BIY5(Evidence code:IEA/Database source:UniProtKB:Q8CFG0|ens)Q3ZBZ6(Evidence code:IEA/Database source:UniProtKB:Q8CFZ4|ens), DCHS1 SULF2 GPC3,BP,3,3 of 20,1.73,15,0.0002552,0.003032
GO:0022417,protein maturation by protein folding,A5PJN2(Evidence code:IEA/Database source:UniProtKB:Q8R180|ens)F1MW08(Evidence code:IEA/Database source:UniProtKB:Q8R2E9|ens), ERO1A  ERO1B,BP,2,2 of 3,1.16,66.67,0.0002854,0.003188
GO:0010839,negative regulation of keratinocyte proliferation,P25975(Evidence code:IEA/Database source:UniProtKB:P06797|ens)F1MME1(Evidence code:IEA/Database source:UniProtKB:Q15262|ens), CTSL PTPRK,BP,2,2 of 3,1.16,66.67,0.0002854,0.003188
GO:0007042,lysosomal lumen acidification,Q1ZYR0(Evidence code:ISS/Database source:UniProtKB:O75503)P45478(Evidence code:ISS/Database source:UniProtKB:P50897), CLN5 PPT1,BP,2,2 of 3,1.16,66.67,0.0002854,0.003188
GO:0030169,low-density lipoprotein particle binding,P01131(Evidence code:IEA/Database source:UniProtKB:P01130|ens)A6QP79(Evidence code:ISS/Database source:UniProtKB:Q5KU26), LDLR COLEC12,MF,2,2 of 3,1.16,66.67,0.0002854,0.003188
GO:0008484,sulfuric ester hydrolase activity,E1BIY5(Evidence code:IEA/Database source:InterPro:IPR000917|I)F1N2D5(Evidence code:IEA/Database source:InterPro:IPR000917), SULF2 IDS,MF,2,2 of 3,1.16,66.67,0.0002854,0.003188
GO:0051897,positive regulation of protein kinase B signaling,Q05717(Evidence code:IEA/Database source:UniProtKB:Q07079|ens)F1MS00(Evidence code:IEA/Database source:UniProtKB:P07949|ens)P00743(Evidence code:IEA/Database source:UniProtKB:P00742|ens), IGFBP5 RET F10,BP,3,3 of 21,1.73,14.29,0.0002904,0.003205
GO:0016310,phosphorylation,Q9XSC6(Evidence code:IEA/Database source:UniProtKB-KW:KW-0418)P00570(Evidence code:IEA/Database source:UniProtKB-KW:KW-0418)Q1JPE3(Evidence code:IEA/Database source:UniProtKB-KW:KW-0418)F1MS00(Evidence code:IEA/Database source:UniProtKB-KW:KW-0418)F1N780(Evidence code:IEA/Database source:UniProtKB-KW:KW-0418)Q769I5(Evidence code:IEA/Database source:UniProtKB-KW:KW-0418), CKM AK1 CARKL RET EPHA7 MET,BP,6,6 of 164,3.47,3.66,0.0003642,0.003972
GO:0008083,growth factor activity,P19879(Evidence code:IEA/Database source:UniProtKB-KW:KW-0339)Q3SWW8(Evidence code:IEA/Database source:UniProtKB-KW:KW-0339)A6QL48(Evidence code:IEA/Database source:UniProtKB-KW:KW-0339)P22444(Evidence code:IEA/Database source:InterPro:IPR001839|I), OGN THBS4 IL34 BMP3,MF,4,4 of 60,2.31,6.67,0.0004165,0.004299
GO:0030513,positive regulation of BMP signaling pathway,Q3ZBZ6(Evidence code:IEA/Database source:UniProtKB:Q8CFZ4|ens)F1MNL4(Evidence code:IEA/Database source:InterPro:IPR033024), GPC3 NEO1,BP,2,2 of 4,1.16,50,0.0004266,0.004299
GO:0001968,fibronectin binding,F1MMI6(Evidence code:IEA/Database source:UniProtKB:Q8TF66|ens)Q05717(Evidence code:IEA/Database source:UniProtKB:Q07079|ens), LRRC15 IGFBP5,MF,2,2 of 4,1.16,50,0.0004266,0.004299
GO:0005031,tumor necrosis factor-activated receptor activity,A6QPW7(Evidence code:IBA/Database source:PANTHER:PTN000753849)Q08DN1(Evidence code:IBA/Database source:PANTHER:PTN000753849), TNFRSF6B TNFRSF21,MF,2,2 of 4,1.16,50,0.0004266,0.004299
GO:0019471,4-hydroxyproline metabolic process,F1MW08(Evidence code:IEA/Database source:UniProtKB:Q8R2E9|ens)A5PJN2(Evidence code:IEA/Database source:UniProtKB:Q8R180|ens), ERO1B ERO1A ,BP,2,2 of 4,1.16,50,0.0004266,0.004299
GO:0006499,N-terminal protein myristoylation,O62829(Evidence code:ISS/Database source:UniProtKB:P49443)O62830(Evidence code:ISS/Database source:UniProtKB:P36993), PPM1A PPM1B,BP,2,2 of 4,1.16,50,0.0004266,0.004299
GO:0045721,negative regulation of gluconeogenesis,A5PKI3(Evidence code:IEA/Database source:InterPro:IPR039219)Q2T9S4(Evidence code:ISS/Database source:UniProtKB:A6NDG6), FAM3C PGP,BP,2,2 of 4,1.16,50,0.0004266,0.004299
GO:0005829,cytosol,F1ME65(Evidence code:IEA/Database source:UniProtKB:A0A024RBH2)Q5BIR5(Evidence code:IEA/Database source:UniProtKB:P50452|ens)P45478(Evidence code:IDA/Database source:)Q58DK5(Evidence code:IBA/Database source:PANTHER:PTN000156046)E1BKZ9(Evidence code:IEA/Database source:UniProtKB:Q99523|ens)O62829(Evidence code:ISS/Database source:UniProtKB:P49443)Q1ZYR0(Evidence code:IEA/Database source:GO:0042147)Q2T9S4(Evidence code:IBA/Database source:PANTHER:PTN000445812)E1BBX5(Evidence code:IBA/Database source:PANTHER:PTN000225632)F1MS00(Evidence code:IEA/Database source:UniProtKB:A0A024R7T2)P00570(Evidence code:IEA/Database source:UniProtKB:Q5T9B7|ens)O62830(Evidence code:ISS/Database source:UniProtKB:P36993)F1N2J8(Evidence code:IEA/Database source:UniProtKB:Q6UX73|ens), CKAP4 SERPINB8 PPT1 ALAD SORT1 PPM1A CLN5 PGP AOX2 RET AK1 PPM1B C16orf89,CC,13,13 of 769,7.51,1.69,0.0004899,0.004855
GO:0016301,kinase activity,Q769I5(Evidence code:IEA/Database source:UniProtKB-KW:KW-0418)Q1JPE3(Evidence code:IEA/Database source:UniProtKB-KW:KW-0418)P00570(Evidence code:IEA/Database source:UniProtKB-KW:KW-0418)F1MS00(Evidence code:IEA/Database source:UniProtKB-KW:KW-0418)Q9XSC6(Evidence code:IEA/Database source:InterPro:IPR022413|I)F1N780(Evidence code:IEA/Database source:UniProtKB-KW:KW-0418), MET CARKL AK1 RET CKM EPHA7,MF,6,6 of 174,3.47,3.45,0.0004923,0.004855
GO:0005789,endoplasmic reticulum membrane,A6QPT7(Evidence code:IEA/Database source:UniProtKB-SubCell:SL)F1MW08(Evidence code:IBA/Database source:PANTHER:PTN000289179)Q0VC23(Evidence code:IEA/Database source:InterPro:IPR029801)Q0VC16(Evidence code:ISS/Database source:UniProtKB:Q5JRA6)A5PJN2(Evidence code:IEA/Database source:UniProtKB-SubCell:SL)Q2HJD1(Evidence code:IEA/Database source:UniProtKB-SubCell:SL)Q3T083(Evidence code:IBA/Database source:PANTHER:PTN000006098), ERAP2 ERO1B ATF6 MIA3 ERO1A  LMAN2L SDF2L1,CC,7,7 of 244,4.05,2.87,0.0005028,0.004906
GO:0016671,"oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor",F1MW08(Evidence code:IEA/Database source:InterPro:IPR007266|I)A5PJN2(Evidence code:IEA/Database source:InterPro:IPR007266|I), ERO1B ERO1A ,MF,2,2 of 5,1.16,40,0.0005951,0.005409
GO:0043236,laminin binding,F1MJV6(Evidence code:IEA/Database source:UniProtKB:Q6F3F9|ens)F1MMI6(Evidence code:IEA/Database source:UniProtKB:Q8TF66|ens), ADGRG6 LRRC15,MF,2,2 of 5,1.16,40,0.0005951,0.005409
GO:0042130,negative regulation of T cell proliferation,Q08DN1(Evidence code:IEA/Database source:UniProtKB:Q9EPU5|ens)Q2KJ64(Evidence code:IEA/Database source:UniProtKB:P05089|ens), TNFRSF21 ARG1,BP,2,2 of 5,1.16,40,0.0005951,0.005409
GO:0003007,heart morphogenesis,Q9MYM4(Evidence code:IEA/Database source:UniProtKB:P70699|ens)E1B969(Evidence code:IEA/Database source:UniProtKB:E9PVD3|ens), GAA DCHS1,BP,2,2 of 5,1.16,40,0.0005951,0.005409
GO:0004714,transmembrane receptor protein tyrosine kinase activity,Q769I5(Evidence code:IEA/Database source:InterPro:IPR016244)F1MS00(Evidence code:IEA/Database source:EC:2.7.10.1), MET RET,MF,2,2 of 5,1.16,40,0.0005951,0.005409
GO:0034975,protein folding in endoplasmic reticulum,A5PJN2(Evidence code:IBA/Database source:PANTHER:PTN000289179)F1MW08(Evidence code:IBA/Database source:PANTHER:PTN000289179), ERO1A  ERO1B,BP,2,2 of 5,1.16,40,0.0005951,0.005409
GO:0021915,neural tube development,A7MB70(Evidence code:IEA/Database source:UniProtKB:Q62181|ens)E1B969(Evidence code:IEA/Database source:UniProtKB:E9PVD3|ens), SEMA3C DCHS1,BP,2,2 of 5,1.16,40,0.0005951,0.005409
GO:0007420,brain development,P45478(Evidence code:ISS/Database source:UniProtKB:P50897)Q1ZYR0(Evidence code:ISS/Database source:UniProtKB:O75503)F1N780(Evidence code:IEA/Database source:UniProtKB:Q61772|ens), PPT1 CLN5 EPHA7,BP,3,3 of 28,1.73,10.71,0.0006269,0.005642
GO:0045454,cell redox homeostasis,A5PJN2(Evidence code:IEA/Database source:UniProtKB:Q8R180|ens)F1MW08(Evidence code:IEA/Database source:UniProtKB:Q8R2E9|ens)E1BKZ1(Evidence code:IEA/Database source:InterPro:IPR004099), ERO1A  ERO1B GSR,BP,3,3 of 30,1.73,10,0.0007548,0.006663
GO:0005507,copper ion binding,A3KLR9(Evidence code:IBA/Database source:PANTHER:PTN000000113)Q9TTK6(Evidence code:IEA/Database source:InterPro:IPR000269|I)Q8MJ24(Evidence code:IEA/Database source:InterPro:IPR001695|I), ECSOD AOC3 LOXL4,MF,3,3 of 30,1.73,10,0.0007548,0.006663
GO:0035269,protein O-linked mannosylation,Q5EA01(Evidence code:ISS/Database source:UniProtKB:O43505)Q3T083(Evidence code:IEA/Database source:GO:0004169), B4GAT1  SDF2L1,BP,2,2 of 6,1.16,33.33,0.0007906,0.006786
GO:0001755,neural crest cell migration,A7MB70(Evidence code:IEA/Database source:UniProtKB:Q62181|ens)F1MS00(Evidence code:IEA/Database source:UniProtKB:P35546|ens), SEMA3C RET,BP,2,2 of 6,1.16,33.33,0.0007906,0.006786
GO:0033209,tumor necrosis factor-mediated signaling pathway,Q08DN1(Evidence code:IEA/Database source:GO:0005031)A6QPW7(Evidence code:IEA/Database source:GO:0005031), TNFRSF21 TNFRSF6B,BP,2,2 of 6,1.16,33.33,0.0007906,0.006786
GO:0004197,cysteine-type endopeptidase activity,Q95M12(Evidence code:ISS/Database source:UniProtKB:O89017)Q0VCU3(Evidence code:IBA/Database source:PANTHER:PTN000274640)P25975(Evidence code:IBA/Database source:PANTHER:PTN000274640), LGMN CTSF CTSL,MF,3,3 of 31,1.73,9.68,0.0008245,0.006948
GO:0007596,blood coagulation,P00743(Evidence code:IEA/Database source:InterPro:IPR012224)Q2KJ63(Evidence code:IEA/Database source:UniProtKB-KW:KW-0094)P98140(Evidence code:IEA/Database source:UniProtKB-KW:KW-0094), F10 KLKB1 F12,BP,3,3 of 31,1.73,9.68,0.0008245,0.006948
GO:0007599,hemostasis,P00743(Evidence code:IEA/Database source:UniProtKB-KW:KW-0356)P98140(Evidence code:IEA/Database source:UniProtKB-KW:KW-0356)Q2KJ63(Evidence code:IEA/Database source:UniProtKB-KW:KW-0356), F10 F12 KLKB1,BP,3,3 of 32,1.73,9.38,0.0008981,0.0075
GO:0071353,cellular response to interleukin-4,Q58DK5(Evidence code:IEA/Database source:UniProtKB:P10518|ens)Q1JPE3(Evidence code:IEA/Database source:UniProtKB:Q9D5J6|ens), ALAD CARKL,BP,2,2 of 7,1.16,28.57,0.001013,0.008236
GO:0050885,neuromuscular process controlling balance,Q9MYM4(Evidence code:IEA/Database source:UniProtKB:P70699|ens)E1BI28(Evidence code:IEA/Database source:UniProtKB:Q60648|ens), GAA GM2A,BP,2,2 of 7,1.16,28.57,0.001013,0.008236
GO:0007157,heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules,E1B969(Evidence code:IEA/Database source:UniProtKB:E9PVD3|ens)Q2TBL2(Evidence code:IBA/Database source:PANTHER:PTN000589024), DCHS1 CADM1,BP,2,2 of 7,1.16,28.57,0.001013,0.008236
GO:0008270,zinc ion binding,Q9GLE5(Evidence code:IEA/Database source:InterPro:IPR001818|I)A3KLR9(Evidence code:IBA/Database source:PANTHER:PTN000000113)A1A4K5(Evidence code:ISS/Database source:UniProtKB:Q13822)P56965(Evidence code:IDA/Database source:)Q58DK5(Evidence code:ISS/Database source:UniProtKB:P13716)A6QPT7(Evidence code:IEA/Database source:InterPro:IPR014782), MMP2 ECSOD ENPP2 DDAH1 ALAD ERAP2,MF,6,6 of 207,3.47,2.9,0.001175,0.009473
GO:0050731,positive regulation of peptidyl-tyrosine phosphorylation,A1A4K5(Evidence code:IEA/Database source:UniProtKB:Q13822|ens)Q3SWW8(Evidence code:IEA/Database source:UniProtKB:P35443|ens)A5D7C8(Evidence code:IEA/Database source:UniProtKB:O09126|ens), ENPP2 THBS4 SEMA4D,BP,3,3 of 36,1.73,8.33,0.001234,0.009508
GO:0031069,hair follicle morphogenesis,P25975(Evidence code:IEA/Database source:UniProtKB:P06797|ens)Q05717(Evidence code:IEA/Database source:UniProtKB:Q07079|ens), CTSL IGFBP5,BP,2,2 of 8,1.16,25,0.001262,0.009508
GO:0030212,hyaluronan metabolic process,A2VE29(Evidence code:IEA/Database source:InterPro:IPR010600)P56652(Evidence code:IEA/Database source:InterPro:IPR010600), ITIH5 ITIH3,BP,2,2 of 8,1.16,25,0.001262,0.009508
GO:0022008,neurogenesis,Q1ZYR0(Evidence code:ISS/Database source:UniProtKB:O75503)E1B969(Evidence code:IEA/Database source:UniProtKB:E9PVD3|ens), CLN5 DCHS1,BP,2,2 of 8,1.16,25,0.001262,0.009508
GO:0045668,negative regulation of osteoblast differentiation,Q05717(Evidence code:IEA/Database source:UniProtKB:Q07079|ens)A5D7C8(Evidence code:IEA/Database source:UniProtKB:O09126|ens), IGFBP5 SEMA4D,BP,2,2 of 8,1.16,25,0.001262,0.009508
GO:0003756,protein disulfide isomerase activity,A5PJN2(Evidence code:IEA/Database source:InterPro:IPR007266|I)F1MW08(Evidence code:IEA/Database source:InterPro:IPR007266|I), ERO1A  ERO1B,MF,2,2 of 8,1.16,25,0.001262,0.009508
GO:0001658,branching involved in ureteric bud morphogenesis,Q3ZBZ6(Evidence code:IEA/Database source:UniProtKB:Q8CFZ4|ens)E1B969(Evidence code:IEA/Database source:UniProtKB:E9PVD3|ens), GPC3 DCHS1,BP,2,2 of 8,1.16,25,0.001262,0.009508
GO:0046658,anchored component of plasma membrane,Q3ZBZ6(Evidence code:IEA/Database source:InterPro:IPR001863)E1BG25(Evidence code:IEA/Database source:UniProtKB:P08582|ens), GPC3 MELTF,CC,2,2 of 8,1.16,25,0.001262,0.009508
GO:0007267,cell-cell signaling,O18739(Evidence code:IBA/Database source:PANTHER:PTN000142748)E1BJP8(Evidence code:IBA/Database source:PANTHER:PTN001932250)A6QPT7(Evidence code:IBA/Database source:PANTHER:PTN000164501)E1BD40(Evidence code:IBA/Database source:PANTHER:PTN001932250), CTGF PCDHGA7 ERAP2 PCDHGB2,BP,4,4 of 83,2.31,4.82,0.001321,0.009875
GO:0030198,extracellular matrix organization,A5PJN2(Evidence code:IEA/Database source:UniProtKB:Q8R180|ens)F1MW08(Evidence code:IEA/Database source:UniProtKB:Q8R2E9|ens)A5D7S8(Evidence code:IEA/Database source:InterPro:IPR017048), ERO1A  ERO1B FBLN1,BP,3,3 of 39,1.73,7.69,0.001531,0.01113
GO:0009897,external side of plasma membrane,F1ML75(Evidence code:IEA/Database source:UniProtKB:P13504|ens)P01131(Evidence code:IEA/Database source:UniProtKB:P01130|ens)E1BKZ1(Evidence code:IEA/Database source:UniProtKB:P47791|ens), IL1R1 LDLR GSR,CC,3,3 of 39,1.73,7.69,0.001531,0.01113
GO:0005537,mannose binding,Q1ZYR0(Evidence code:ISS/Database source:UniProtKB:O75503)A6QP36(Evidence code:IEA/Database source:UniProtKB:Q12907|ens), CLN5 LMAN2,MF,2,2 of 9,1.16,22.22,0.001536,0.01113
GO:0015035,protein disulfide oxidoreductase activity,F1MW08(Evidence code:IEA/Database source:UniProtKB:Q8R2E9|ens)A5PJN2(Evidence code:IEA/Database source:UniProtKB:Q8R180|ens), ERO1B ERO1A ,MF,2,2 of 9,1.16,22.22,0.001536,0.01113
GO:0051216,cartilage development,E1BIY5(Evidence code:IEA/Database source:UniProtKB:Q8CFG0|ens)P22444(Evidence code:IEA/Database source:UniProtKB-KW:KW-0891), SULF2 BMP3,BP,2,2 of 10,1.16,20,0.001837,0.0129
GO:0030968,endoplasmic reticulum unfolded protein response,Q0VC23(Evidence code:IEA/Database source:InterPro:IPR029801)A5PJN2(Evidence code:IEA/Database source:UniProtKB:Q8R180|ens), ATF6 ERO1A ,BP,2,2 of 10,1.16,20,0.001837,0.0129
GO:0001540,amyloid-beta binding,F1MD95(Evidence code:IEA/Database source:UniProtKB:O94985|ens)P01131(Evidence code:IEA/Database source:UniProtKB:P35951|ens), CLSTN1 LDLR,MF,2,2 of 10,1.16,20,0.001837,0.0129
GO:0042730,fibrinolysis,P98140(Evidence code:IEA/Database source:UniProtKB-KW:KW-0280)Q2KJ63(Evidence code:IEA/Database source:UniProtKB-KW:KW-0280), F12 KLKB1,BP,2,2 of 10,1.16,20,0.001837,0.0129
GO:0007040,lysosome organization,Q1ZYR0(Evidence code:IEA/Database source:UniProtKB:Q3UMW8|ens)Q9MYM4(Evidence code:IEA/Database source:UniProtKB:P10253|ens), CLN5 GAA,BP,2,2 of 11,1.16,18.18,0.002163,0.01474
GO:0050873,brown fat cell differentiation,G3X6G7(Evidence code:IEA/Database source:UniProtKB:Q8VE43|ens)A5PJN2(Evidence code:IEA/Database source:UniProtKB:Q8R180|ens), METRNL ERO1A ,BP,2,2 of 11,1.16,18.18,0.002163,0.01474
GO:0030324,lung development,Q3ZBZ6(Evidence code:IEA/Database source:UniProtKB:Q8CFZ4|ens)O18739(Evidence code:IEA/Database source:UniProtKB:P29268|ens), GPC3 CTGF,BP,2,2 of 11,1.16,18.18,0.002163,0.01474
GO:0005791,rough endoplasmic reticulum,F1ME65(Evidence code:IEA/Database source:UniProtKB:Q07065|ens)F1MS76(Evidence code:IEA/Database source:UniProtKB:Q8C341|ens), CKAP4 SUCO,CC,2,2 of 11,1.16,18.18,0.002163,0.01474
GO:0043124,negative regulation of I-kappaB kinase/NF-kappaB signaling,O62830(Evidence code:ISS/Database source:UniProtKB:O75688)O62829(Evidence code:ISS/Database source:UniProtKB:P35813), PPM1B PPM1A,BP,2,2 of 12,1.16,16.67,0.002515,0.01665
GO:0051496,positive regulation of stress fiber assembly,O19116(Evidence code:IDA/Database source:)O18739(Evidence code:IEA/Database source:UniProtKB:P29279|ens), SFRP1 CTGF,BP,2,2 of 12,1.16,16.67,0.002515,0.01665
GO:0050840,extracellular matrix binding,Q3SYW7(Evidence code:IBA/Database source:PANTHER:PTN001015480)P21793(Evidence code:IEA/Database source:UniProtKB:P28654|ens), SPARCL1 DCN,MF,2,2 of 12,1.16,16.67,0.002515,0.01665
GO:0005913,cell-cell adherens junction,Q2TBL2(Evidence code:IBA/Database source:PANTHER:PTN000589024)A6QLR1(Evidence code:IEA/Database source:UniProtKB:Q96NY8|ens), CADM1 PVRL4,CC,2,2 of 12,1.16,16.67,0.002515,0.01665
GO:0005905,clathrin-coated pit,P01131(Evidence code:IEA/Database source:UniProtKB-KW:KW-0168)E1BKZ9(Evidence code:IEA/Database source:UniProtKB:Q99523|ens), LDLR SORT1,CC,2,2 of 13,1.16,15.38,0.002891,0.01901
GO:0008237,metallopeptidase activity,Q17QK3(Evidence code:IEA/Database source:UniProtKB-KW:KW-0482)A6QPT7(Evidence code:IEA/Database source:InterPro:IPR014782)Q9GLE5(Evidence code:IEA/Database source:InterPro:IPR006026|I), CPQ ERAP2 MMP2,MF,3,3 of 51,1.73,5.88,0.003152,0.02058
GO:0008201,heparin binding,Q28019(Evidence code:IEA/Database source:UniProtKB-KW:KW-0358)Q3SWW8(Evidence code:IEA/Database source:UniProtKB:P35443|ens)O18739(Evidence code:IEA/Database source:UniProtKB-KW:KW-0358), LTBP2 THBS4 CTGF,MF,3,3 of 52,1.73,5.77,0.00332,0.02066
GO:0006469,negative regulation of protein kinase activity,F1MMI6(Evidence code:IBA/Database source:PANTHER:PTN000043893)P21793(Evidence code:IBA/Database source:PANTHER:PTN000043893)P00514(Evidence code:IEA/Database source:UniProtKB:Q9DBC7|ens), LRRC15 DCN PRKAR1A,BP,3,3 of 52,1.73,5.77,0.00332,0.02066
GO:0002250,adaptive immune response,Q5EA85(Evidence code:IEA/Database source:UniProtKB-KW:KW-1064)Q08DN1(Evidence code:IEA/Database source:UniProtKB:Q9EPU5|ens)A6QPT7(Evidence code:IEA/Database source:UniProtKB-KW:KW-1064), SEMA4A TNFRSF21 ERAP2,BP,3,3 of 52,1.73,5.77,0.00332,0.02066
GO:0046426,negative regulation of JAK-STAT cascade,F1MMI6(Evidence code:IBA/Database source:PANTHER:PTN000043893)P21793(Evidence code:IBA/Database source:PANTHER:PTN000043893), LRRC15 DCN,BP,2,2 of 14,1.16,14.29,0.003292,0.02066
GO:0042552,myelination,F1MJV6(Evidence code:IEA/Database source:UniProtKB:Q86SQ4|ens)Q08DN1(Evidence code:IEA/Database source:UniProtKB:Q9EPU5|ens), ADGRG6 TNFRSF21,BP,2,2 of 14,1.16,14.29,0.003292,0.02066
GO:0007160,cell-matrix adhesion,A6QLI0(Evidence code:IEA/Database source:InterPro:IPR001299)O18739(Evidence code:IEA/Database source:UniProtKB:P29268|ens), EPDR1 CTGF,BP,2,2 of 14,1.16,14.29,0.003292,0.02066
GO:0030301,cholesterol transport,P01131(Evidence code:IEA/Database source:UniProtKB:P01130|ens)Q2KIW4(Evidence code:IEA/Database source:UniProtKB:P04180|ens), LDLR LCAT,BP,2,2 of 14,1.16,14.29,0.003292,0.02066
GO:0008234,cysteine-type peptidase activity,Q95M12(Evidence code:IEA/Database source:UniProtKB-KW:KW-0788)P25975(Evidence code:IEA/Database source:InterPro:IPR000668|I)Q0VCU3(Evidence code:IEA/Database source:InterPro:IPR000668|I), LGMN CTSL CTSF,MF,3,3 of 53,1.73,5.66,0.003494,0.02159
GO:0004722,protein serine/threonine phosphatase activity,O62830(Evidence code:IEA/Database source:InterPro:IPR015655)O62829(Evidence code:IEA/Database source:InterPro:IPR015655), PPM1B PPM1A,MF,2,2 of 15,1.16,13.33,0.003718,0.02282
GO:0007169,transmembrane receptor protein tyrosine kinase signaling pathway,F1N780(Evidence code:IEA/Database source:InterPro:IPR001426|I)Q769I5(Evidence code:IEA/Database source:InterPro:IPR016244)F1MS00(Evidence code:IEA/Database source:UniProtKB:P35546|ens), EPHA7 MET RET,BP,3,3 of 56,1.73,5.36,0.004049,0.02469
GO:0090263,positive regulation of canonical Wnt signaling pathway,E1BIY5(Evidence code:IEA/Database source:UniProtKB:Q8CFG0|ens)Q3ZBZ6(Evidence code:IEA/Database source:UniProtKB:P51654|ens), SULF2 GPC3,BP,2,2 of 16,1.16,12.5,0.004167,0.02509
GO:0032729,positive regulation of interferon-gamma production,A5D7S4(Evidence code:IEA/Database source:UniProtKB:O70394|ens)F1ML75(Evidence code:IEA/Database source:UniProtKB:P14778|ens), IL27RA IL1R1,BP,2,2 of 16,1.16,12.5,0.004167,0.02509
