GO,Function,Proteins,Gene Name,Ontology group,Count of protein,Number of proteins detected within the genome,GO frequency within the dataset (%),GO frequency within the genome (%),P-Value,P-Values_BH
GO:0002181,cytoplasmic translation,Q5E9E6(Evidence code:IEA/Database source:UniProtKB:P62906|ens)Q58DT1(Evidence code:IBA/Database source:PANTHER:PTN000897517)Q58DQ3(Evidence code:ISS/Database source:UniProtKB:Q02878)Q5E973(Evidence code:ISS/Database source:UniProtKB:Q07020),RPL10A RPL7 RPL6 RPL18,BP,4,4 of 20,7.69,20,8.316E-08,0.000002232
GO:0005753,mitochondrial proton-transporting ATP synthase complex,P13619(Evidence code:ISS/Database source:UniProtKB:P24539)P02721(Evidence code:IEA/Database source:UniProtKB:P18859|ens)Q28851(Evidence code:IEA/Database source:UniProtKB:P56134|ens)P13620(Evidence code:IDA/Database source:), ATP5F1 ATP5J ATP5J2 ATP5H,CC,4,4 of 20,7.69,20,8.316E-08,0.000002232
GO:0006412,translation,Q2TBQ5(Evidence code:IBA/Database source:PANTHER:PTN000559990)Q58DQ3(Evidence code:IEA/Database source:InterPro:IPR000915|I)Q5E983(Evidence code:IEA/Database source:UniProtKB-KW:KW-0648)Q56JX8(Evidence code:IEA/Database source:InterPro:IPR000589|I)Q5E973(Evidence code:IEA/Database source:InterPro:IPR000039|I)Q5E9E6(Evidence code:IEA/Database source:InterPro:IPR002143),RPL7A RPL6 EEF1B RPS13 RPL18 RPL10A,BP,6,6 of 130,11.54,4.62,1.632E-07,0.000004042
GO:0000276,"mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)",P13620(Evidence code:IEA/Database source:InterPro:IPR008689|I)P02721(Evidence code:IEA/Database source:InterPro:IPR008387|I)P13619(Evidence code:IEA/Database source:InterPro:IPR008688|I), ATP5H ATP5J ATP5F1,CC,3,3 of 8,5.77,37.5,7.594E-07,0.00001747
GO:0070469,respiratory chain,P52505(Evidence code:IEA/Database source:UniProtKB-KW:KW-0679)P31800(Evidence code:IEA/Database source:UniProtKB-KW:KW-0679)P23935(Evidence code:IEA/Database source:UniProtKB-KW:KW-0679), NDUFAB1 UQCRC1 NDUFA5,CC,3,3 of 10,5.77,30,0.000001313,0.00002818
GO:0016491,oxidoreductase activity,P52505(Evidence code:TAS/Database source:)A6H7H3(Evidence code:IEA/Database source:InterPro:IPR020904)Q1JPA0(Evidence code:IEA/Database source:InterPro:IPR015590|I)P00432(Evidence code:IEA/Database source:UniProtKB-KW:KW-0560)Q6SYC4(Evidence code:IEA/Database source:UniProtKB-KW:KW-0560)P31039(Evidence code:IEA/Database source:InterPro:IPR003952|I)Q3SZI8(Evidence code:IEA/Database source:UniProtKB-KW:KW-0560), NDUFAB1 LOC789567 ALDH3B1 CAT ALOX12 SDHA IVD,MF,7,7 of 361,13.46,1.94,0.000004443,0.00008941
GO:0003735,structural constituent of ribosome,Q5E9E6(Evidence code:IEA/Database source:InterPro:IPR002143)Q5E973(Evidence code:IEA/Database source:InterPro:IPR000039|I)Q58DT1(Evidence code:IBA/Database source:PANTHER:PTN000897517)Q56JX8(Evidence code:IEA/Database source:InterPro:IPR000589|I)Q58DQ3(Evidence code:IEA/Database source:InterPro:IPR000915|I), RPL10A RPL18 RPL7 RPS13 RPL6,MF,5,5 of 138,9.62,3.62,0.000005363,0.0001016
GO:0015986,ATP synthesis coupled proton transport,P02721(Evidence code:IEA/Database source:InterPro:IPR008387|I)P13620(Evidence code:IEA/Database source:InterPro:IPR008689|I)P13619(Evidence code:IEA/Database source:InterPro:IPR008688|I),ATP5J ATP5H ATP5F1,BP,3,3 of 21,5.77,14.29,0.000009159,0.0001552
GO:0004129,cytochrome-c oxidase activity,P00426(Evidence code:IEA/Database source:InterPro:IPR003204|I)P13184(Evidence code:IEA/Database source:InterPro:IPR003177|I)P00428(Evidence code:IBA/Database source:PANTHER:PTN000012880), COX5A COX7A2 COX5B,MF,3,3 of 21,5.77,14.29,0.000009159,0.0001552
GO:0016887,ATPase activity,Q28851(Evidence code:IEA/Database source:UniProtKB:P56134|ens)P13619(Evidence code:ISS/Database source:UniProtKB:P24539)A0JND8(Evidence code:IEA/Database source:InterPro:IPR003439)P02721(Evidence code:IEA/Database source:UniProtKB:P18859|ens), ATP5J2 ATP5F1 ABCC4 ATP5J,MF,4,4 of 110,7.69,3.64,0.00004603,0.0007411
GO:0006613,cotranslational protein targeting to membrane,A6QLP7(Evidence code:IBA/Database source:PANTHER:PTN000309014)Q5EA68(Evidence code:IEA/Database source:UniProtKB:P61619|ens),SSR1 SEC61A1,BP,2,2 of 7,3.85,28.57,0.00009769,0.001498
GO:0005737,cytoplasm,Q8MJ82(Evidence code:IEA/Database source:GO:0006888)Q58DQ3(Evidence code:IEA/Database source:UniProtKB-KW:KW-0963)Q3T147(Evidence code:IEA/Database source:UniProtKB-KW:KW-0963)Q2TBP7(Evidence code:IEA/Database source:UniProtKB-KW:KW-0963)Q1JPA0(Evidence code:IEA/Database source:UniProtKB:P43353|ens)P68401(Evidence code:IEA/Database source:UniProtKB-KW:KW-0963)Q5E973(Evidence code:IEA/Database source:UniProtKB-KW:KW-0963)Q5E983(Evidence code:IEA/Database source:UniProtKB:P24534|ens)Q3T0B6(Evidence code:ISS/Database source:UniProtKB:O35796)Q5E9M1(Evidence code:IEA/Database source:UniProtKB-KW:KW-0963), lman1 RPL6 DDX39B MYCBP ALDH3B1 PAFAH1B2 RPL18 EEF1B C1QBP ARL6IP5,CC,10,10 of 1304,19.23,0.77,0.0001344,0.001921
GO:0006811,ion transport,P02721(Evidence code:IEA/Database source:UniProtKB-KW:KW-0406)P13620(Evidence code:IEA/Database source:UniProtKB-KW:KW-0406)Q28851(Evidence code:IEA/Database source:UniProtKB-KW:KW-0406)P13619(Evidence code:IEA/Database source:UniProtKB-KW:KW-0406)A0JND8(Evidence code:IEA/Database source:InterPro:IPR009147),ATP5J ATP5H ATP5J2 ATP5F1 ABCC4,BP,5,5 of 278,9.62,1.8,0.0001372,0.001921
GO:0015078,proton transmembrane transporter activity,P13620(Evidence code:IEA/Database source:InterPro:IPR008689|I)P02721(Evidence code:IEA/Database source:InterPro:IPR008387|I)P13619(Evidence code:IEA/Database source:InterPro:IPR008688|I), ATP5H ATP5J ATP5F1,MF,3,3 of 61,5.77,4.92,0.000179,0.002306
GO:0046933,"proton-transporting ATP synthase activity, rotational mechanism",P13620(Evidence code:IBA/Database source:PANTHER:PTN000294648)P13619(Evidence code:IBA/Database source:PANTHER:PTN000296496), ATP5H ATP5F1,MF,2,2 of 10,3.85,20,0.0001785,0.002306
GO:0042254,ribosome biogenesis,Q3T0B6(Evidence code:IEA/Database source:UniProtKB-KW:KW-0690)Q2TBQ5(Evidence code:IEA/Database source:InterPro:IPR004037),C1QBP RPL7A,BP,2,2 of 11,3.85,18.18,0.0002107,0.00234
GO:0032981,mitochondrial respiratory chain complex I assembly,P52505(Evidence code:ISS/Database source:UniProtKB:O14561)P23935(Evidence code:ISS/Database source:UniProtKB:Q16718),NDUFAB1 NDUFA5,BP,2,2 of 11,3.85,18.18,0.0002107,0.00234
GO:0006123,"mitochondrial electron transport, cytochrome c to oxygen",P00428(Evidence code:IBA/Database source:PANTHER:PTN000012880)P00426(Evidence code:IBA/Database source:PANTHER:PTN000367750),COX5B COX5A,BP,2,2 of 11,3.85,18.18,0.0002107,0.00234
GO:0005791,rough endoplasmic reticulum,Q58DQ3(Evidence code:IEA/Database source:UniProtKB-SubCell:SL)Q5E973(Evidence code:IEA/Database source:UniProtKB-SubCell:SL), RPL6 RPL18,CC,2,2 of 11,3.85,18.18,0.0002107,0.00234
GO:0005751,mitochondrial respiratory chain complex IV,P00428(Evidence code:IBA/Database source:PANTHER:PTN000012880)P00426(Evidence code:IEA/Database source:UniProtKB:P20674|ens), COX5B COX5A,CC,2,2 of 12,3.85,16.67,0.0002455,0.002635
GO:0003723,RNA binding,Q3T147(Evidence code:IEA/Database source:UniProtKB-KW:KW-0694)Q5E973(Evidence code:IBA/Database source:PANTHER:PTN000859219)Q58DQ3(Evidence code:IBA/Database source:PANTHER:PTN000076315)Q2TBQ5(Evidence code:IBA/Database source:PANTHER:PTN000559990)Q58DT1(Evidence code:IEA/Database source:UniProtKB-KW:KW-0694)Q5E9E6(Evidence code:IEA/Database source:InterPro:IPR002143), DDX39B RPL18 RPL6 RPL7A RPL7 RPL10A,MF,6,6 of 520,11.54,1.15,0.0003264,0.003185
GO:0000470,maturation of LSU-rRNA,Q5E9E6(Evidence code:IBA/Database source:PANTHER:PTN000559990)Q2TBQ5(Evidence code:IBA/Database source:PANTHER:PTN000559990),RPL10A RPL7A,BP,2,2 of 14,3.85,14.29,0.0003231,0.003185
GO:0033116,endoplasmic reticulum-Golgi intermediate compartment membrane,A7YY49(Evidence code:IEA/Database source:UniProtKB-SubCell:SL)Q3T133(Evidence code:IEA/Database source:UniProtKB-SubCell:SL), SURF4 TMED9,CC,2,2 of 14,3.85,14.29,0.0003231,0.003185
GO:0005793,endoplasmic reticulum-Golgi intermediate compartment,Q3T0L2(Evidence code:IEA/Database source:UniProtKB:Q9BS26|ens)Q3T133(Evidence code:IEA/Database source:UniProtKB:Q9BVK6|ens), ERP44 TMED9,CC,2,2 of 15,3.85,13.33,0.0003657,0.003365
GO:0005518,collagen binding,A6H7H3(Evidence code:IEA/Database source:UniProtKB:O70503|ens)P55906(Evidence code:IEA/Database source:InterPro:IPR032954), LOC789567 TGFBI,MF,2,2 of 15,3.85,13.33,0.0003657,0.003365
GO:0009060,aerobic respiration,P00432(Evidence code:IEA/Database source:UniProtKB:P24270|ens)P31800(Evidence code:IBA/Database source:PANTHER:PTN000220240),CAT UQCRC1,BP,2,2 of 17,3.85,11.76,0.0004588,0.003993
GO:0045277,respiratory chain complex IV,P00426(Evidence code:IDA/Database source:)P00428(Evidence code:IDA/Database source:), COX5A COX5B,CC,2,2 of 17,3.85,11.76,0.0004588,0.003993
GO:0005622,intracellular,Q5E973(Evidence code:IEA/Database source:InterPro:IPR000039|I)Q56JX8(Evidence code:IEA/Database source:InterPro:IPR000589)Q58DQ3(Evidence code:IEA/Database source:InterPro:IPR000915|I), RPL18 RPS13 RPL6,CC,3,3 of 95,5.77,3.16,0.0006256,0.005301
GO:0005730,nucleolus,Q56JX8(Evidence code:IBA/Database source:PANTHER:PTN000223268)Q3T147(Evidence code:IBA/Database source:PANTHER:PTN000618218)Q3T0B6(Evidence code:IEA/Database source:UniProtKB-SubCell:SL)P68401(Evidence code:IEA/Database source:UniProtKB:P68402|ens), RPS13 DDX39B C1QBP PAFAH1B2,CC,4,4 of 232,7.69,1.72,0.0007335,0.006056
GO:0099132,ATP hydrolysis coupled cation transmembrane transport,P13620(Evidence code:IEA/Database source:GO:0046933)P13619(Evidence code:IEA/Database source:GO:0046933),ATP5H ATP5F1,BP,2,2 of 23,3.85,8.7,0.0007995,0.006436
GO:0005886,plasma membrane,Q1JPA0(Evidence code:IEA/Database source:UniProtKB-KW:KW-1003)Q3T0B6(Evidence code:IEA/Database source:UniProtKB-KW:KW-1003)Q3ZBG9(Evidence code:IBA/Database source:PANTHER:PTN000583005)Q5E9M1(Evidence code:IEA/Database source:UniProtKB-KW:KW-1003)P68401(Evidence code:IEA/Database source:UniProtKB:P68402|ens)Q5GJ77(Evidence code:IEA/Database source:InterPro:IPR028354), ALDH3B1 C1QBP PLSCR2 ARL6IP5 PAFAH1B2 GPAM,CC,6,6 of 630,11.54,0.95,0.0008681,0.006818
GO:0005759,mitochondrial matrix,Q3SZI8(Evidence code:IEA/Database source:UniProtKB-SubCell:SL)Q3T0B6(Evidence code:IEA/Database source:InterPro:IPR003428|I)P52505(Evidence code:IDA/Database source:), IVD C1QBP NDUFAB1,CC,3,3 of 111,5.77,2.7,0.0009689,0.007429
GO:0008137,NADH dehydrogenase (ubiquinone) activity,P52505(Evidence code:TAS/Database source:)P23935(Evidence code:IEA/Database source:UniProtKB:Q9CPP6|ens), NDUFAB1 NDUFA5,MF,2,2 of 26,3.85,7.69,0.001004,0.007518
GO:0016627,"oxidoreductase activity, acting on the CH-CH group of donors",P31039(Evidence code:IEA/Database source:InterPro:IPR011281|I)Q3SZI8(Evidence code:IEA/Database source:InterPro:IPR006091|I), SDHA IVD,MF,2,2 of 29,3.85,6.9,0.001231,0.009007
GO:0050660,flavin adenine dinucleotide binding,Q3SZI8(Evidence code:IEA/Database source:InterPro:IPR013786|I)P31039(Evidence code:IEA/Database source:InterPro:IPR011281|I), IVD SDHA,MF,2,2 of 32,3.85,6.25,0.00148,0.01059
GO:0005788,endoplasmic reticulum lumen,Q3T0L2(Evidence code:IEA/Database source:UniProtKB-SubCell:SL)A6QQR5(Evidence code:IEA/Database source:UniProtKB:Q9DBS1|ens), ERP44 TMEM43,CC,2,2 of 34,3.85,5.88,0.001658,0.01161
GO:0051092,positive regulation of NF-kappaB transcription factor activity,P00432(Evidence code:IEA/Database source:UniProtKB:P24270|ens)Q1LZB0(Evidence code:ISS/Database source:UniProtKB:Q96HY6),CAT DDRGK1,BP,2,2 of 35,3.85,5.71,0.001751,0.012
GO:0005576,extracellular region,Q3T0B6(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)P55906(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)Q148K7(Evidence code:IEA/Database source:GO:1900116)P35541(Evidence code:IEA/Database source:InterPro:IPR000096), C1QBP TGFBI LRPAP1 SAA1,CC,4,4 of 300,7.69,1.33,0.00185,0.01241
GO:0005829,cytosol,Q5E973(Evidence code:IEA/Database source:UniProtKB-SubCell:SL)Q58DQ3(Evidence code:IEA/Database source:UniProtKB-SubCell:SL)Q1JPA0(Evidence code:IEA/Database source:UniProtKB:Q80VQ0|ens)P68401(Evidence code:IEA/Database source:UniProtKB:P68402|ens)Q3T0B6(Evidence code:IEA/Database source:UniProtKB:Q07021|ens)P52505(Evidence code:IBA/Database source:PANTHER:PTN000466551), RPL18 RPL6 ALDH3B1 PAFAH1B2 C1QBP NDUFAB1,CC,6,6 of 769,11.54,0.78,0.002318,0.01335
GO:1902600,proton transmembrane transport,P13184(Evidence code:IEA/Database source:GO:0004129)P00426(Evidence code:IEA/Database source:GO:0004129),COX7A2 COX5A,BP,2,2 of 42,3.85,4.76,0.002468,0.01335
GO:0009055,electron transfer activity,P31039(Evidence code:IBA/Database source:PANTHER:PTN000180228)P13184(Evidence code:IEA/Database source:InterPro:IPR003177), SDHA COX7A2,MF,2,2 of 46,3.85,4.35,0.002929,0.01335
GO:0005747,mitochondrial respiratory chain complex I,P23935(Evidence code:IEA/Database source:UniProtKB:Q16718|ens)P52505(Evidence code:IDA/Database source:), NDUFA5 NDUFAB1,CC,2,2 of 46,3.85,4.35,0.002929,0.01335
GO:0009061,anaerobic respiration,P31039(Evidence code:IBA/Database source:PANTHER:PTN000180228),SDHA,BP,1,1 of 1,1.92,100,0.003274,0.01335
GO:0017121,phospholipid scrambling,Q3ZBG9(Evidence code:IEA/Database source:GO:0017128),PLSCR2,BP,1,1 of 1,1.92,100,0.003274,0.01335
GO:0046356,acetyl-CoA catabolic process,Q29RZ0(Evidence code:IEA/Database source:UniProtKB:P24752|ens),ACAT1,BP,1,1 of 1,1.92,100,0.003274,0.01335
GO:1902860,propionyl-CoA biosynthetic process,Q29RZ0(Evidence code:IEA/Database source:UniProtKB:P24752|ens),ACAT1,BP,1,1 of 1,1.92,100,0.003274,0.01335
GO:1900116,extracellular negative regulation of signal transduction,Q148K7(Evidence code:IEA/Database source:GO:0048019),LRPAP1,BP,1,1 of 1,1.92,100,0.003274,0.01335
GO:0039019,pronephric nephron development,Q5EA68(Evidence code:ISS/Database source:UniProtKB:P61620),SEC61A1,BP,1,1 of 1,1.92,100,0.003274,0.01335
GO:0046952,ketone body catabolic process,Q29RZ0(Evidence code:IEA/Database source:UniProtKB:P24752|ens),ACAT1,BP,1,1 of 1,1.92,100,0.003274,0.01335
GO:0009245,lipid A biosynthetic process,P52505(Evidence code:IBA/Database source:PANTHER:PTN000466551),NDUFAB1,BP,1,1 of 1,1.92,100,0.003274,0.01335
GO:0046784,viral mRNA export from host cell nucleus,Q3T147(Evidence code:IEA/Database source:UniProtKB:Q13838|ens),DDX39B,BP,1,1 of 1,1.92,100,0.003274,0.01335
GO:0048205,COPI coating of Golgi vesicle,Q3T133(Evidence code:ISS/Database source:UniProtKB:Q9BVK6),TMED9,BP,1,1 of 1,1.92,100,0.003274,0.01335
GO:0003985,acetyl-CoA C-acetyltransferase activity,Q29RZ0(Evidence code:IEA/Database source:EC:2.3.1.9),ACAT1,MF,1,1 of 1,1.92,100,0.003274,0.01335
